longitude,latitude
-110.707,-48.427
-17.918,-48.41
13.762,-48.348
90.247,-48.28
73.048,-48.247
100.057,-48.245
-40.467,-48.167
-27.978,-48.155
-40.525,-48.133
86.192,-48.118
126.205,-48.068
13.817,-48.043
105.077,-48.027
105.243,-48.027
114.487,-48.025
105.197,-48.022
114.478,-48.008
126.092,-48.008
120.032,-48.0
21.582,-47.988
95.037,-47.988
-13.023,-47.95
73.41,-47.942
123.263,-47.937
-77.977,-47.912
-35.083,-47.858
123.875,-47.857
-33.977,-47.855
-120.5333,-47.8333
-37.038,-47.818
-85.633,-47.793
-47.483,-47.65
124.068,-47.64
-121.0333,-47.6167
-53.1,-47.597
56.868,-47.593
-161.808,-47.583
-57.27,-47.56
114.44,-47.552
120.237,-47.542
7.763,-47.535
114.423,-47.533
73.928,-47.518
14.067,-47.492
73.927,-47.48
73.928,-47.468
94.832,-47.378
73.843,-47.337
-76.222,-47.295
7.91,-47.285
100.145,-47.245
100.13,-47.242
-76.855,-47.212
-56.942,-47.207
-51.418,-47.202
-116.7167,-47.1833
95.08,-47.128
-132.833,-47.083
8.055,-47.078
-144.9,-47.033
125.947,-47.027
-76.617,-47.001
-76.617,-47.0
110.132,-46.987
14.303,-46.963
8.118,-46.953
-76.422,-46.947
-129.712,-46.945
-129.705,-46.945
6.2573,-46.9322
-76.6,-46.883
7.542,-46.875
-39.867,-46.833
8.018,-46.832
8.008,-46.822
-41.517,-46.792
-77.537,-46.75
-123.0167,-46.7333
-118.3333,-46.7167
-30.123,-46.682
-113.5667,-46.5917
-176.767,-46.5
100.052,-46.488
114.417,-46.448
-76.667,-46.35
-76.538,-46.317
-76.383,-46.25
-77.255,-46.173
14.665,-46.173
-78.938,-46.118
105.03,-46.115
-13.225,-46.097
107.225,-46.07
90.155,-46.06
-116.1833,-46.05
90.155,-46.05
105.013,-46.045
-46.025,-46.025
-31.097,-46.01
-163.194,-45.9508
-55.323,-45.928
-75.943,-45.92
-75.902,-45.915
-178.3518,-45.823
-49.13,-45.7617
-78.443,-45.755
-49.1483,-45.7483
-49.1317,-45.725
-77.497,-45.712
100.12,-45.66
100.168,-45.66
48.287,-45.657
-178.8018,-45.6083
-76.215,-45.6
-171.35,-45.583
-119.8333,-45.5
-124.0167,-45.45
-56.655,-45.287
-55.443,-45.262
-75.943,-45.253
-78.548,-45.173
45.518,-45.143
109.915,-45.107
9.15,-45.085
114.367,-45.057
114.348,-45.037
22.47,-45.035
95.082,-45.022
-145.283,-45.017
125.982,-45.012
-32.108,-44.998
100.05,-44.998
-76.5,-44.967
15.048,-44.945
106.507,-44.89
-40.25,-44.883
106.518,-44.877
70.967,-44.633
-77.035,-44.57
-111.333,-44.55
-110.75,-44.45
-127.2333,-44.35
-172.7,-44.317
-109.5,-44.3
-57.167,-44.278
-76.203,-44.27
-101.575,-44.15
-100.0633,-44.105
100.022,-44.088
100.017,-44.068
-107.9,-44.0667
105.002,-44.015
-120.0,-43.992
-120.05,-43.983
114.368,-43.953
90.093,-43.897
90.1,-43.887
-105.4,-43.85
-108.15,-43.8
-104.4667,-43.75
-107.6,-43.7167
-108.3,-43.55
-76.483,-43.537
118.517,-43.5
122.425,-43.5
